Content,Metadata
"Yukarıda belirtilmiş yol takip edilirse, projeler, o yıl içerisinde hangi şekilde gruplanacaksa onlar belirlenip, oluşturulabilir. Örnek aşağıdaki gibidir;image2019-9-20_13-9-1.pngimage2019-9-20_13-4-59.pngimage2019-9-20_13-4-8.png","{'title': 'Custom Metrics', 'id': '3213586', 'source': 'https://wiki.softtech.com.tr/display/SDO/Custom+Metrics'}"
,"{'title': 'DevOps Dokümantasyonu', 'id': '3213632', 'source': 'https://wiki.softtech.com.tr/pages/viewpage.action?pageId=3213632'}"
,"{'title': 'DevOps Belgeleri', 'id': '3213634', 'source': 'https://wiki.softtech.com.tr/display/SDO/DevOps+Belgeleri'}"
"250 Softtech içindeki sürüm yönetimi geliştirme yapılan ortamlar, ekiplerin ve müşterinin ihtiyaçlarına göre belirlenmektedir. Bu kapsamda, Softtech Projelerinde Sürüm Yönetimi Banka Projelerinde Sürüm Yönetimi Softtech Yazılım Projelerinde Sürüm Yönetimi Softtech  Yazılım Projelerinde Versiyonlama Softtech Yazılım Projelerinde Majör.Minör.Patch şeklinde üçlü Semantic versiyonlama sistemi kullanılmaktadır. Majör versiyon artışı: Geliştirilen ürün ya da bileşen tamamen yeni bir güncelleme içeriyorsa Majör versiyon artışı yapılabilir. Majör versiyon artışı ilgili ürünü geliştiren ekipteki Ürün Mimarı, Yazılım Mimarı ya da yetkili Yazılımcılar tarafından kararlaştırılıp yapılabilir. Minör versiyon artışı: Geliştirilen ürün ya da bileşen yeni bir fonksiyon içeriyor ama geriye dönük olarak destekleyecek şekilde geliştirilmişse Minör versiyon artışı yapılır. Minör versiyon artışı ilgili ürünü geliştiren ekipteki Ürün Mimarı, Yazılım Mimarı ya da diğer yetkili Yazılımcılar tarafından kararlaştırılıp yapılabilir. Patch versiyon artışı: Geliştirilen ürün ya da bileşen üzerinde ürünün işleyişini değiştirmeyen geriye dönük olarak uyumlu yapılan hata yamalarına ilişkin versiyon artışlarıdır. Bu versiyon artışlarının her çıkan yama için yazılım ekibi tarafından ya da ortam üzerinden otomatik olarak yapılabilir. Yeni çıkan yazılımların sürümleri her zaman öncekilerden büyük olur. İlk yazılım versiyonları 0.y.z şeklinde olur. Yazılım yeterince olgun olduğunda 1.0.0 versiyounan yükseltilebilir. Snaphot versiyonları: Bazı durumlarda ürünü geliştiren ekipler belirli bir Majör.Minör.Patch versiyonu için deneme sürümü çıkabilirler. Bu durumda Majör.Minör.Patch-SNAPSHOT (1.0.1-SNAPSHOT) ibaresi eklenerek ilgili sürümün deneysel olduğunu ifade eder. alpha, beta, ga versiyonları (opsiyonel): Sürüm'e hazırlanan yazılımların ya da bileşenlerin semantic versiyonlarının sonuna alpha, beta, ga gibi ifadeler eklenerek ilgili sürümlerin üretim ortamlarında kuruluma hazırlık aşamalarında olduklarına ilişkin ifadelere yer verilebilir. Burada alpha ilk sürüm denemesi, beta daha stabil olan sürüm denemesi, ga (genaral availability) ise üretim ortamlarında kullanılmaya hazır stabil sürümü ifade eder. Yazılım versiyon yönetiminde tespit edilen bir hata sonucu, ya da iş gereksinimleri gereği yeni versiyonlar ilgili kurallara dikkat edilerek her zaman çıkılabilir. Softtech Yazılım Projelerinde DevOps İlkeleri Softtech Yazılım projelerinde oluşturulan DevOps Pipeline tanımları aşağıdaki ilkeler gözetilerek hazırlanır; Softtech Projelerinde Deployment Adımları Softtech'te geliştirilen yazılım projelerinde aşağıdaki DevOps adımları takip edilmektedir, Softtech DevOps hatlarında (banka hariçi) geliştirilen projelerde sürüm yönetimi bulunulan ortama ve yazılım ekiplerinin ihtiyaçlarına göre şekillenmektedir. Softtech DevOps ürünlerinde çıkılan sürümlerde oluşan değişiklik listesi versiyon numarası ile beraber iligli Jira projesine eklenmektedir. <todo>Jira'da Sürüm Bilgisi yönetimine ilişkin bilgiler yer alacak</todo> Banka Projelerinde Sürüm Yönetimi Banka projelerinde Kırmızı ve Mavi hatta bulunan paketlerin Sürüm bilgisi XL Deploy aracı üzerinden belirlenmektedir. Banka tarafındaki sürece ilişkin belgeye linkten * eriebilirsiniz. UAB, KGF Projelerinde Sürüm Yönetimi UAB ve KGF Projelerinde sürüm yönetimi Release Management belgesine * göre yapılmaktadır. Burada sırasısıyla, https://gitlab.rally.softtech/rally/rubix/reference-documentation/-/tree/master/RALLY-Framework/latest Branch Yönetimi Güncel Sürüm (Versiyon) Yönetimi Gelenksel Sürüm Yönetimi bölümlerinden oluşmaktadır. * İlgili belgelerin 20 Eylül 2019 tarihinde alınan sürümleri eklenmiştir. 250 250UAB KGF Release Management.pdf","{'title': 'Softtech Yazılım Versiyonlama ve Sürüm Yönetimi', 'id': '3213636', 'source': 'https://wiki.softtech.com.tr/pages/viewpage.action?pageId=3213636'}"
,"{'title': 'Kubernetes and Container Infrastructure', 'id': '3213657', 'source': 'https://wiki.softtech.com.tr/display/SDO/Kubernetes+and+Container+Infrastructure'}"
"GlusterFS Nedir? Basit olarak SDS (Software Defined Storage) pozisyonunda yapılandırılır. En az 3 adet olmak koşuluyla (önerilen) N tane linux server bir araya getirilerek kurulan, yüksek erişilebilirlikli (High Available), hata toleranslı (Fault Tolerant) ve yüksek performanslı bir storage sistemidir. Genel anlamda kümeye dahil sunucuların fiziksel cihazlar olması önem arz eder fakat zorunlu değildir. Heketi Nedir? GlusterFS kümelerini Rest API üzerinden yönetebilmek için ortaya çıkmış (daha çok konteyner orkestrasyon sistemleri için) ve go programlama diliyle yazılmış bir arayüz sistemidir. Yüksek erişilebilirlikli olarak çalıştırmak şuan için mümkün değildir. Bu nedenle iyi yapılandırılmasında ve iyi monitör edilmesinde fayda vardır. (Keepalived uygulaması kullanılarak HA özellik sağlanabilir.) GlusterFS/Heketi Kurulumu GlusterFS kurulumu için buradan , Heketi kurulumu için buradan ayrıntılı şekilde bilgi alabilirsiniz. Biz Ne İçin Kullanacağız? Kullandığımız bir NFS sistemi olmadığı için, Origin ortamında persistent volume olarak kullanabileceğimiz bir sisteme ihtiyaç vardı. Fiziksel olarak bir Datacenter alanımız da olmadığı için bu yönteme gittik. Ayrıca GlusterFS uygulamasını heketi ile birlikte origin ortamına tam entegre edebildik. Hem dynamic provisioning hem de persistent volume storage olarak bu sistemi kullanacağız. GlusterFS Cluster Yapısı GlusterFS_1 Hostname: SCGFSS01.softtech.local IP: 10.222.8.97 GlusterFS_2 Hostname: SCGFSS02.softtech.local IP: 10.222.8.98 GlusterFS_3 Hostname: SCGFSS03.softtech.local IP: 10.222.8.99 Heketi Yapısı Heketi_1 Hostname: SCGFSS01.softtech.local IP: 10.222.8.97 Public Hostname: heketi,uat.softtech Public IP: 10.222.8.90 Heketi Home: /etc/heketi Heketi Config: /etc/heketi/heketi.json","{'title': 'GlusterFS Kurulumu (Heketi İle Birlikte)', 'id': '3213659', 'source': 'https://wiki.softtech.com.tr/pages/viewpage.action?pageId=3213659'}"
"Origin Nedir? Red Hat firmasına ait olan Openshift konteyner orkestrasyon aracının open source port edilen versiyonudur. Kubernetes base bir sistemdir. Softtech İçin Altyapı Yapımız 2 master, 2 infra ve 5 compute sunucusundan oluşmaktadır. Rollerin sebebi aşağıda açıklanmıştır. Master: Bu rol sunucularda sadece cluster iletişimi için gerekli podlar bulunur. İşleri, sadece cluster kontrolünü sağlamaktır. Yapımızda etcd sunucuları da master sunucular üzerinde konumlandırılmıştır. Bu bakımdan masterların sağlıklı olması son derece önemlidir. Infra: Bu rol sunucularda cluster çalışılabilirliğinden sorumlu podlar çalışır. Cluster için kurulan namespacelerin hepsi, bu rol sunucuların üzerinde koşar. Compute: Bu rol sunucularda kullanıcı projeleri çalışır. Bu konu, cluster ve user yüklerinin birbirini etkilememesi açısından çok önemlidir. Web Konsol Erişimi Varsayılan kurulumda load balancer olarak HAProxy yapılandırılmaktadır. Bizim bir load balancer clusterımız olduğu için (Nginx), erişimi oradan vermeye karar verdik. Erişim için aşağıdaki bilgileri kullanabilirsiniz. Public Hostname: platform.uat.softtech:8443 Kurulum Aşamaları Openshift veya origin kurulumu için, openshift resmi reposunda bulunan openshift-ansible projesi kullanılmaktadır. Proje içerisinde bulunan ansible playbookları ile kurulum veya kaldırma işlemi kolaylıkla yapılabilmektedir. İşin en önemli kısmı, inventory dosyasını doğru hazırlamaktır. Bu iş için özel olarak kurduğumuz bir ansible sunucumuz da vardır. (10.222.8.96) Kurulumlar bu sunucu üzerinden yönetilmektedir. Ansible sunucusu, kontrol edeceği sunuculara şifresiz olarak (ssh key) ile bağlanmalıdır. (zorunlu değil, fakat verimli) Örnek inventory dosyası, ansible sunucusu üzerinde /root/openshift-ansible/inventory altında softtech.stg.cluster isimli dosyada yer almaktadır. Kurulan komponentlerin listesi aşağıdadır. Monitoring Stack Logging Stack Registry Stack Ansible Operator Stack Kurulumu başlatmak için aşağıdaki komutları sırasıyla başlatmak yeterli olacaktır. ansible-playbook -i <inventory_file> playbooks/prerequisites.yml ansible-playbook -i <inventory_file> playbooks/deploy_cluster.yml Entegrasyonlar İlerleyen aşamalrda aşağıdaki entegrasyonlar gerçekleştirilecektir. Log Entegrasyonu: Cluster içerisinde gömülü olarak kurduğumuz monitoring projesi, üzerinde bulunan dataları, mevcut ELK yapımıza gönderecek. Bununla birlikte merkezi bir log yönetim yapısı ortaya koymuş olacağız. Monitoring Entegrasyonu: Cluster içerisinde gömülü olarak kurduğumuz bir Prometheus stack bulunmakta. Bu projenin görevi, cluster içerisindeki core servisler ve kullanıcı servislerini (ek ayar ister) izlemektir. Bu yapıyı, mevcutta bulunan Zabbix yapımızla birleştirerek, merkezi bir monitoring yapısı ortaya koyacağız. Hibrit Repository: Yapımızda bulunan Nexus ile birlikte, oluşturulan konteyner imajlarını nexus üzerinde saklamak ve kolayca bu yapıya deploy etmek düşüncesindeyiz. Mevcutta oluşturulmuş bir konteyner registry vardı. Buraya doğrudan erişim için bir port (8083) verdim. Bu sayede imaj repomuz açılmış oldu. Node Etiketleme Genel anlamda tüm orkestrasyon araçlarında olan bir özellik, etiketlemedir. (labeling) Bu sayede ilgili proje, tam konumlandırılmak istenen yerde devreye alınabilir. Aşağıda örnek olarak verilen etiketleme, hibrit konteyner yönetimi için önemli bir adımdır. Bu sayede uygulamalarımız, dünyada istenen herhangi bir bölgede devreye girebilir. Etiketleme için örnekler, node ekleme kısmında anlatılacaktır. node_type web_server app_server db_server in_memory_cache_server disk_cache_server country tr fr de city istanbul frankfurt paris region east west provider self aws gcp Örnek label komutu Node Label: oc label node <node-name> node_type=""app_server"" country=""tr"" city=""istanbul"" region=""west-3"" provider=""self"" Master ve Infra Label: oc label node <node-name> country=""tr"" city=""istanbul"" provider=""self""","{'title': 'Red Hat Origin Kurulumu', 'id': '3213662', 'source': 'https://wiki.softtech.com.tr/display/SDO/Red+Hat+Origin+Kurulumu'}"
Yazılımcıların dikkat etmesi gereken konular.,"{'title': 'Dev', 'id': '3213706', 'source': 'https://wiki.softtech.com.tr/display/SDO/Dev'}"
"'ın notları aşağıdaki gibidir: Java Maven Projeleri için Dikkat edilecek Hususlar Birim test sonuçlarının ve code coverage'ların sonar'a doğru şekilde yansıması için kodların maven ile hatasız build olması ve tüm birim testlerin hatasız çalışması gerekmektedir. Bir birim test bile hata alırsa build başarısız sayılmakta ve analiz yapılamamaktadır. Graddle ile build yapılan projelerde ya da maven ile build edip jacoco ayarlarında değişikliği giden ekiplerin birimtest ve coverage analiz sonuçlarının nerede oluştuğunu ekibimize iletmesi gerekmektedir. Aksi takdirde analiz sonuçları yazdığımız scriptler tarafından bulunamayacak ve sıfır kabul edilecektir. Birim testler için kullanılan default değerler aşağıdaki gibidir. Bunların dışında bir path kullanıluyorsa bunun devops ekibine iletilmesi yazılım ekibinin sorumluluğundadır. Local ortamda build sonrasında aşağıda belirtilen adreslerde raporların oluştuğunun teyit edilmesi çok faydalı olur. Bir çok problem daha local ortamda çözülebilinir. -Dsonar.exclusions=**/*.xml -Dsonar.java.binaries=target -Dsonar.tests=src/test -Dsonar.binaries=target -Dsonar.java.coveragePlugin=jacoco -Dsonar.junit.reportPaths=target/surefire-reports -Dsonar.jacoco.reportPaths=target/jacoco.exec Yazılan birim testlerin property dosyaları dahil hiçbir dış sisteme gitmemesi gerekmektedir. Dış sisteme giden birimtestler build aşamasında hata alacağı için birim test ve RCI analizi yapılamayacaktır. Analiz sonuçları Sonar'a ( http://sonar.softtech/projects ) paket adı + ACI kodu şeklinde yansıtılmaktadır. Analizlerde hata ya da eksiklik gözlemleyen ekiplerin öncelikli olarak https://tfs.softtech/tfs adresine giderek build sonuçlarına bakması gerekiyor. Projenin sorunsuz build olduğu teyit edildikten sonra devops ekibi ile iletişime geçilmesi gerekmektedir. tfs.softtech java paketleri için: https://tfs.softtech/tfs/IsbankCollection/Java-Maven tfs.softtech .net paketleri için: credentials: ANT vb. legacy yöntemlerle build olan projelerin maven'a geçmesi gerekmektedir. Maven'a geçmeyen ve kapsam dışı kriterlerine uymayan paketlerin analizleri yapılamayacağız için sıfır olarak değerlendirileceklerdir. Birimtest sonuçları her modülün altındaki /target/surefire-reports dizininde oluşuyor. Projeyi derledikten sonra (mvn clean install) bu klasörün içinin dolu olduğunu teyit ediniz. Sonar sadece birim test coverage'ını hesaplıyor, Yazılan entegrasyon testleri coverage hesabına katılmıyor. Örnek olarak aşağıdaki iki test sınıfını ele alalım. Sonar ConverterTest sınıfının birim test sınıfı olduğunu anlıyor ve coverage sonuçlarına ekliyor. Ancak, PaymentPlanCalculatorApiImplIIT sınıfının bir birim test sınıfı olduğunu anlayamıyor. Bu sınıf içindeki testleri entegrasyon testi olarak yorumluyor. Bu nedenle birim test coverage sonuçlarına bu sınıf içindekiler yansımıyor. Bu durum, uygulama paketiniz altındaki test coverate'ının olduğundan düşük görünmesine neden olabilir. Test sınıf isimlerine dikkat ederek ve birim test yazma standartlarına uyarak bu durumuun oluşmasına engelleyebilirsiniz. Birim test dışında entegrasyon testide yazıyor olabilirsiniz, ancak bu yazdığınız testlerin birimtest kapsamında değerlendirilmeyeceğini hatırlatırız. Entegrasyon testlerinin sonar analizlerine yansıması için sonar'a entegrasyon testleride gösterilebilmektedir. Ancak bu durumda da birim testler kapsam dışında kalmaktadır. Bir olumsuzluk yaşamamak için bu konuya dikkat edilmesi gerekmektedir. Dsonar.jacoco.reportPaths=target/jacoco.exec -Dsonar.jacoco.reportPaths=target/jacoco-int.exec Mock kullanımı; Mocklama yaparken test ettiğiniz method içinden çağırılan diğer method'ları mocklayabilirsiniz. Ancak, test ettiğiniz methodun kendisini mock'larsanız, bu durumda test coverage'ına yansımayabilir. Bu durumun oluşmaması için mocklama yaparken test ettiğiniz method'un kendisini mocklamamaya özen gösterebilirsiniz. Yazdığınız birim testler, production kodları ile aynı paket hiyeraşisinde olmasına özen gösterin. Farklı tests ve production kodu farklı paketler altında olduğu durumlarda birim test coverage'ları sonar tarafından algılanmayabiliyor. Yukardaki örnekte, birim test farklı bir klasör altına yazılmış durumda. ConverterTest sınıfının'da convert isimli bir alt klasöre taşınması daha doğru olur. Production kodları ve birim testler aşağıdaki folder yapısında oluşturulmalıdır. Production kodları için src/main/java klasörleri altında paketler oluşturulmalıdır. Birim test kodları için src/test/java klasörleri altında paketler oluşturulmalıdır.","{'title': 'Yazılımcıların Dikkat Etmesi Gereken Hususlar', 'id': '3213709', 'source': 'https://wiki.softtech.com.tr/pages/viewpage.action?pageId=3213709'}"
Operasyoncuların dikkat etmesi gereken konular.,"{'title': 'Ops', 'id': '3213711', 'source': 'https://wiki.softtech.com.tr/display/SDO/Ops'}"
,"{'title': 'devops.softtech', 'id': '3213734', 'source': 'https://wiki.softtech.com.tr/display/SDO/devops.softtech'}"
"Epik Senaryo Detaylar Öncelik Çeyrek Büyüklük Komponent Notlar Editörler 1 Checkmarx entegrasyonu bulguların kümile edilerek devops softtech üzerinde gösterilmesi .... Yüksek 2019/4 21 Backend, Frontend .... 2","{'title': 'backlog', 'id': '3213736', 'source': 'https://wiki.softtech.com.tr/display/SDO/backlog'}"
Tfs üzerinde üretilen Personal Access Tokenları en fazla 1 yıl süreyle üretilebiliyor. Bu süre dolduktan sonra agent offline durumuna geçtiği için sıraya yeni iş alamıyor. Bu sebepten dolayı tokenların yıllık olarak güncellenmesi gerekmektedir. Öncelikle token generate etmek için aşağıdaki adımlar uygulanır. https://tfs.softtech/tfs/IsbankCollection/_details/security/tokens linkine gidilir. Add butonuna tıkladıktan sonra gerekli alanlar doldurulur ve Create Token butonuna tıklanır. Üretilen token kopyalanır. (Token üretilen hesabın yetkili bir hesap olması önem taşımakta.) Agent'in dosya yolunda bulunan _work dosyası conflict olmaması için yedeklenip silinir. Command Prompt açılır ve Agentın dosya yoluna gidilir. config.cmd remove komutu ile agent servisi kaldırılır. .\config.cmd --sslskipcertvalidation --url {TFS URL} --auth PAT --token {Token} --pool {Pool}--runasservice --work _work --agent {Agent} komutu ile agent config yapılandırması başlatılır. Windows Service kullanıcısı için softtech\ytfsbuild gibi sunucu yöneticisi olan bir kullanıcı tercih edilmelidir. İşlem tamamlandıktan sonra agent çalışmaya hazır duruma gelir. Agent'ı çalıştırmak için .\run.cmd komutu çalıştırılır. Detaylı bilgi için: https://www.c-sharpcorner.com/article/how-to-install-configure-and-unconfigure-build-agent-in-tfs-2015/token2.PNGadd_token.PNG2.png1.png,"{'title': 'TFS Agentlarının Token Güncellemesi', 'id': '3213743', 'source': 'https://wiki.softtech.com.tr/pages/viewpage.action?pageId=3213743'}"
https://tfs.softtech özelindeki belgeleri içerir.,"{'title': 'TFS Softtech', 'id': '3213761', 'source': 'https://wiki.softtech.com.tr/display/SDO/TFS+Softtech'}"
